Asset Type,Asset,Engaged People,Engaged Accounts,BDR Booked Meeting (MQL),High Value Inquiry,Qualified Inquiry,SAL $,SALQ $,Closed Won $
p_5ea52c2bb2,p_113e63e0ce,112,54,0,0.33,0.34,1684.67,1676.93,292.81
p_35d5f6446d,p_178cbaaf2a,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_9fb02633ad,3,0,0,0,0,0,0,0
p_5ea52c2bb2,p_ecc074e84d,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_b1ee3b9988,1,0,0,0,0,0,0,0
p_96fe923d5b,p_61ba213fec,1,1,0,0,0,0,0,0
p_18df50f95b,p_74377e0e5d,1,0,0,0,0,0,0,0
p_54a6a1c242,p_d801cc611f,364,200,0.37,0.9,1.19,70539.45,73379.98,3444.19
p_463a8a7b6f,p_7f7219672c,1,0,0,0,0,0,0,0
p_35d5f6446d,p_d0b14d1b2d,1,0,0,0,0,0,0,0
p_fedadf1682,p_a47a322840,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_f134fb4f44,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_63d4ec72e3,4,2,0,0,0,0,0,0
p_463a8a7b6f,p_1dcbd4a172,1,0,0,0,0,0,0,0
p_fa15783640,p_4eda1801a2,36,12,0,0,0,0,0.01,0.01
p_463a8a7b6f,p_7b7e5b3591,3,0,0,0,0,11.02,10.91,0
p_463a8a7b6f,p_ec043efbc9,1,0,0,0,0,0,0,0
p_fedadf1682,p_1fb30d954a,2,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_55f9b3dae2,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_3f10978eb2,4,3,0,0.11,0.14,0,0.02,0.04
p_9ee8c7bb3f,p_1e55ce05c8,2,2,0,0,0,0,0,0
p_9ee8c7bb3f,p_367f1ff1fe,1,1,0,0,0,24.83,23.92,0
p_fedadf1682,p_8af9361579,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_dd640f9a12,3,0,0,0,0,0,0,0
p_fedadf1682,p_b946fe000c,3,1,0,0,0,0,144.28,0
p_35d5f6446d,p_0400a6483e,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_06e2140c30,2,1,0,0,0,0,0,0
p_96fe923d5b,p_b7a6a85fee,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_8afc6ba837,1,1,0,0,0,0,0,0
p_54a6a1c242,p_24b7b330f0,15,6,0,0,0,0,0,0
p_5ea52c2bb2,p_03d565db9c,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_bcdc001a23,1,1,0,0,0,0,0,0
p_18df50f95b,p_f34c73f37d,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_95bae4571a,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_4913c85ec7,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_e01449a2a6,12,5,0,0,0,0,0.01,0.01
p_463a8a7b6f,p_0b5676919e,1,0,0,0,0,0,0,0
p_35d5f6446d,p_0960c5f618,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_3ff9690beb,1,0,0,0,0,0,0,0
p_35d5f6446d,p_9fe32eb788,201,96,0,0.18,0.32,36434.84,36422.04,1392.45
p_fa15783640,p_5e8f2e56e5,1,1,0,0,0,0,0,0
p_5ea52c2bb2,p_a3946abf24,41,17,0,0.5,0,123.26,127.01,83.97
p_5ea52c2bb2,p_40f03aa8ae,1016,320,0.2,1.75,1.75,11935.58,12223.94,755.8
p_463a8a7b6f,p_67ed83aa6e,1,0,0,0,0,0,0.04,0.07
p_444b282eb9,p_d9f463cb00,799,496,1.58,4.92,4.49,80148.68,117276.41,18598.88
p_18df50f95b,p_d5aec24ec0,1,1,0,0,0,0,0,0
p_18df50f95b,p_6a561cac6d,1,1,0,0,0,0,0,0
p_fa15783640,p_01751f23ab,1,0,0,0,0,0,0,0
p_a8e5fab6b1,p_d4f566ae29,1,0,0,0,0,0,0,0
p_54a6a1c242,p_1d3ed9af38,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_f105a111f7,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_7b0f5ec7b4,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_2bbb2fec9a,112,36,0,0.47,0.45,0,217.85,44.2
p_fa15783640,p_2c81dcda3d,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_779f82db7e,1,1,0,0,0,0,0,0
p_fa15783640,p_1d220b6274,4,4,0,0,0,0,0.03,242.05
p_35d5f6446d,p_ae2b079df3,3,3,0,0,0.02,0,0,25.34
p_fa15783640,p_aaa89551a6,2,0,0,0,0,0,0,0
p_35d5f6446d,p_0fc72126d7,1,0,0,0,0,0,0,0
p_fa15783640,p_5cf8b8a32b,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_5865f9dce8,2,0,0,0,0,0,0,0
p_fa15783640,p_b326f1a26c,1,0,0,0,0,0,0,0
p_892bde13bc,p_84024ed011,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_48d4479d22,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_b31de34706,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_52d7d98f81,34,14,0,0,0,871.71,4311.32,24.57
p_fa15783640,p_f5515529c4,2,0,0,0,0,0,0,0
p_463a8a7b6f,p_426e317ad8,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_0d3ac08a8c,3,2,0,0,0,0,0,0
p_fedadf1682,p_2a03c75964,1,0,0,0,0,0,0,0
p_337a2ae173,p_897612cd52,1,1,0,0.01,0,0,0,0
